Year,Value
2010,
2010,
2011,99.0
2011,
2012,99.0
2012,16.0
2013,99.0
2013,28.0
2014,99.0
2014,33.0
2015,99.0
2015,84.0
2016,99.0
2016,97.0
2017,99.5
2017,97.0
2018,99.8
2018,97.0
