Year,Fatal accidents - by sex,Fatal accidents - by economic activities,Non-fatal accidents - by sex,Non-fatal accidents - by economic activities,Value
2014,,,,P education,
2014,,,,Q Health and social work,
2014,,,,"R Arts, entertainment and recreation",
2014,,,,S Other service activities,
2015,,,,,
2015,,,,,5.7
2015,Women,,,,0.6
2015,Men,,,,12
2015,,"A Agriculture, forestry and fishing",,,
2015,,B Mining and quarrying,,,
2015,,C Manufacturing industry,,,
2015,,"D Production and supply of electric energy and heat, gas, hot water and airconditioning",,,
2015,,"E Water supply, sewerage, waste management and remediation activities",,,
2015,,F construction,,,
2015,,G Wholesale and retail trade; repair of motor vehicles and motorcycles,,,
2015,,H Transportation and storage,,,
2015,,I Accomodation and food service activities,,,
2015,,J Informații și comunicații,,,
2015,,K Financial and insurance activities,,,
2015,,L Real estate activities,,,
2015,,"M Professional, scientific and technical activities",,,
2015,,N Administrative and support service activities,,,
2015,,O Public administration and defence; compulsory social security,,,
2015,,P education,,,
2015,,Q Health and social work,,,
2015,,"R Arts, entertainment and recreation",,,
2015,,S Other service activities,,,
2015,,,,,70.3
2015,,,Women,,29.4
2015,,,Men,,121.6
2015,,,,"A Agriculture, forestry and fishing",
2015,,,,B Mining and quarrying,
2015,,,,C Manufacturing industry,
2015,,,,"D Production and supply of electric energy and heat, gas, hot water and airconditioning",
2015,,,,"E Water supply, sewerage, waste management and remediation activities",
2015,,,,F construction,
2015,,,,G Wholesale and retail trade; repair of motor vehicles and motorcycles,
2015,,,,H Transportation and storage,
2015,,,,I Accomodation and food service activities,
2015,,,,J Informații și comunicații,
2015,,,,K Financial and insurance activities,
2015,,,,L Real estate activities,
2015,,,,"M Professional, scientific and technical activities",
2015,,,,N Administrative and support service activities,
2015,,,,O Public administration and defence; compulsory social security,
2015,,,,P education,
2015,,,,Q Health and social work,
2015,,,,"R Arts, entertainment and recreation",
2015,,,,S Other service activities,
2016,,,,,
2016,,,,,4.9
2016,Women,,,,1.3
2016,Men,,,,9
2016,,"A Agriculture, forestry and fishing",,,10.9
2016,,B Mining and quarrying,,,
2016,,C Manufacturing industry,,,7.7
2016,,"D Production and supply of electric energy and heat, gas, hot water and airconditioning",,,
2016,,"E Water supply, sewerage, waste management and remediation activities",,,13
2016,,F construction,,,14.5
2016,,G Wholesale and retail trade; repair of motor vehicles and motorcycles,,,5.4
2016,,H Transportation and storage,,,19.5
2016,,I Accomodation and food service activities,,,
2016,,J Informații și comunicații,,,
2016,,K Financial and insurance activities,,,
2016,,L Real estate activities,,,8.6
2016,,"M Professional, scientific and technical activities",,,
2016,,N Administrative and support service activities,,,18.2
2016,,O Public administration and defence; compulsory social security,,,
2016,,P education,,,
2016,,Q Health and social work,,,
2016,,"R Arts, entertainment and recreation",,,
2016,,S Other service activities,,,
2016,,,,,57.6
2016,,,Women,,43
2016,,,Men,,74.1
2016,,,,"A Agriculture, forestry and fishing",76.2
2016,,,,B Mining and quarrying,194.3
2016,,,,C Manufacturing industry,86.9
2016,,,,"D Production and supply of electric energy and heat, gas, hot water and airconditioning",134.9
2016,,,,"E Water supply, sewerage, waste management and remediation activities",130.1
2016,,,,F construction,87.2
2016,,,,G Wholesale and retail trade; repair of motor vehicles and motorcycles,42.4
2016,,,,H Transportation and storage,89.3
2016,,,,I Accomodation and food service activities,40.5
2016,,,,J Informații și comunicații,33.2
2016,,,,K Financial and insurance activities,41.4
2016,,,,L Real estate activities,34.4
2016,,,,"M Professional, scientific and technical activities",12.9
2016,,,,N Administrative and support service activities,136.3
2016,,,,O Public administration and defence; compulsory social security,15.5
2016,,,,P education,19.1
2016,,,,Q Health and social work,79.6
2016,,,,"R Arts, entertainment and recreation",110.4
2016,,,,S Other service activities,45.8
2017,,,,,
2017,,,,,6.8
2017,Women,,,,
2017,Men,,,,14.5
2017,,"A Agriculture, forestry and fishing",,,29.3
2017,,B Mining and quarrying,,,197.9
2017,,C Manufacturing industry,,,2.4
2017,,"D Production and supply of electric energy and heat, gas, hot water and airconditioning",,,
2017,,"E Water supply, sewerage, waste management and remediation activities",,,
2017,,F construction,,,36.7
2017,,G Wholesale and retail trade; repair of motor vehicles and motorcycles,,,2.1
2017,,H Transportation and storage,,,22.8
2017,,I Accomodation and food service activities,,,
2017,,J Informații și comunicații,,,
2017,,K Financial and insurance activities,,,
2017,,L Real estate activities,,,8.8
2017,,"M Professional, scientific and technical activities",,,
2017,,N Administrative and support service activities,,,17.1
2017,,O Public administration and defence; compulsory social security,,,4
2017,,P education,,,1
2017,,Q Health and social work,,,
2017,,"R Arts, entertainment and recreation",,,
2017,,S Other service activities,,,
2017,,,,,68
2017,,,Women,,44.2
2017,,,Men,,94.5
2017,,,,"A Agriculture, forestry and fishing",61.2
2017,,,,B Mining and quarrying,49.5
2017,,,,C Manufacturing industry,89.3
2017,,,,"D Production and supply of electric energy and heat, gas, hot water and airconditioning",73.2
2017,,,,"E Water supply, sewerage, waste management and remediation activities",132.8
2017,,,,F construction,114.6
2017,,,,G Wholesale and retail trade; repair of motor vehicles and motorcycles,49.8
2017,,,,H Transportation and storage,74.2
2017,,,,I Accomodation and food service activities,40
2017,,,,J Informații și comunicații,37.8
2017,,,,K Financial and insurance activities,40.4
2017,,,,L Real estate activities,53
2017,,,,"M Professional, scientific and technical activities",25.9
2017,,,,N Administrative and support service activities,85.4
2017,,,,O Public administration and defence; compulsory social security,169.4
2017,,,,P education,22.6
2017,,,,Q Health and social work,72.1
2017,,,,"R Arts, entertainment and recreation",33.2
2017,,,,S Other service activities,39.6
