Year,Access mode,Value
2010,Offline,
2010,Online,
2011,Offline,
2011,Online,
2012,Offline,42.0
2012,Online,
2013,Offline,
2013,Online,64.0
2014,Offline,48.0
2014,Online,66.0
2015,Offline,52.0
2015,Online,66.0
2016,Offline,58.8
2016,Online,66.0
2017,Offline,
2017,Online,
2018,Offline,
2018,Online,
