Year,Sex,Value
2010,,
2010,Men,
2010,Women,
2011,,
2011,Men,
2011,Women,
2012,,
2012,Men,
2012,Women,
2013,,
2013,Men,
2013,Women,
2014,,1006.3
2014,Men,1324.6
2014,Women,717.5
2015,,1051.6
2015,Men,1381.8
2015,Women,750.9
2016,,1032.3
2016,Men,1367.8
2016,Women,727.2
2017,,976.0
2017,Men,1312.3
2017,Women,672.1
2018,,1024.5
2018,Men,1382.6
2018,Women,702.9
