Year,Total,Value
2010,Total,3179716.8
2011,Total,1656878.21
2012,Total,717749.3
2013,Total,4012549.18
2014,Total,6743405.9
2015,Total,177751.66606
2016,Total,481810.0701
2017,Total,
2018,Total,
