Year,Bio-fuel and waste,Petrol products,Coal,Natural gas,Thermal energy,Electricity,Value
2016,,,,,,Lighting and use of electrical appliances,
2017,Space heating,,,,,,
2017,Cooling spaces,,,,,,
2017,Water heating,,,,,,
2017,Food preparation,,,,,,
2017,,Space heating,,,,,
2017,,Cooling spaces,,,,,
2017,,Water heating,,,,,
2017,,Food preparation,,,,,
2017,,,Space heating,,,,
2017,,,Cooling spaces,,,,
2017,,,Water heating,,,,
2017,,,Food preparation,,,,
2017,,,,Space heating,,,
2017,,,,Cooling spaces,,,
2017,,,,Water heating,,,
2017,,,,Food preparation,,,
2017,,,,,Space heating,,
2017,,,,,Cooling spaces,,
2017,,,,,Water heating,,
2017,,,,,Food preparation,,
2017,,,,,,Space heating,
2017,,,,,,Cooling spaces,
2017,,,,,,Water heating,
2017,,,,,,Food preparation,
2017,,,,,,Lighting and use of electrical appliances,
2018,Space heating,,,,,,
2018,Cooling spaces,,,,,,
2018,Water heating,,,,,,
2018,Food preparation,,,,,,
2018,,Space heating,,,,,
2018,,Cooling spaces,,,,,
2018,,Water heating,,,,,
2018,,Food preparation,,,,,
2018,,,Space heating,,,,
2018,,,Cooling spaces,,,,
2018,,,Water heating,,,,
2018,,,Food preparation,,,,
2018,,,,Space heating,,,
2018,,,,Cooling spaces,,,
2018,,,,Water heating,,,
2018,,,,Food preparation,,,
2018,,,,,Space heating,,
2018,,,,,Cooling spaces,,
2018,,,,,Water heating,,
2018,,,,,Food preparation,,
2018,,,,,,Space heating,
2018,,,,,,Cooling spaces,
2018,,,,,,Water heating,
2018,,,,,,Food preparation,
2018,,,,,,Lighting and use of electrical appliances,
