Year,Types of resources,Value
2010,BIM,2.193
2010,COL,0.032
2010,CPR,1.249
2010,CRO,0.617
2010,FEO,0.018
2010,FOF,0.496
2010,GAS,0.34
2010,GBO,0.08
2010,MEO,0.018
2010,NFO,0.018
2010,NMA,0.381
2010,NMC,1.47
2010,NMM,1.816
2010,PET,0.125
2010,RAW,4.523
2010,WCH,0.005
2010,WOD,0.08
2011,BIM,2.039
2011,COL,0.033
2011,CPR,1.195
2011,CRO,0.729
2011,FEO,0.013
2011,FOF,0.473
2011,GAS,0.311
2011,GBO,0.044
2011,MEO,0.013
2011,NFO,0.013
2011,NMA,0.423
2011,NMC,1.406
2011,NMM,1.778
2011,PET,0.129
2011,RAW,4.303
2011,WCH,0.004
2011,WOD,0.072
2012,BIM,1.214
2012,COL,0.03
2012,CPR,0.601
2012,CRO,0.729
2012,FEO,0.024
2012,FOF,0.461
2012,GAS,0.311
2012,GBO,0.037
2012,MEO,0.025
2012,NFO,0.024
2012,NMA,0.51
2012,NMC,0.965
2012,NMM,1.425
2012,PET,0.12
2012,RAW,3.124
2012,WCH,0.005
2012,WOD,0.089
2013,BIM,2.06
2013,COL,0.038
2013,CPR,1.159
2013,CRO,0.441
2013,FEO,0.012
2013,FOF,0.373
2013,GAS,0.22
2013,GBO,0.032
2013,MEO,0.012
2013,NFO,0.012
2013,NMA,0.537
2013,NMC,0.915
2013,NMM,1.408
2013,PET,0.114
2013,RAW,3.853
2013,WCH,0.005
2013,WOD,0.166
2014,BIM,2.203
2014,COL,0.021
2014,CPR,1.238
2014,CRO,0.666
2014,FEO,0.03
2014,FOF,0.379
2014,GAS,0.249
2014,GBO,0.03
2014,MEO,0.03
2014,NFO,0.03
2014,NMA,0.508
2014,NMC,0.928
2014,NMM,1.397
2014,PET,0.109
2014,RAW,4.008
2014,WCH,0.004
2014,WOD,0.166
2015,BIM,2.215
2015,COL,0.026
2015,CPR,1.249
2015,CRO,0.767
2015,FEO,0.031
2015,FOF,0.398
2015,GAS,0.259
2015,GBO,0.032
2015,MEO,0.031
2015,NFO,0.031
2015,NMA,0.563
2015,NMC,0.995
2015,NMM,1.521
2015,PET,0.113
2015,RAW,4.164
2015,WCH,0.005
2015,WOD,0.167
2016,BIM,2.131
2016,COL,0.025
2016,CPR,1.201
2016,CRO,0.731
2016,FEO,0.03
2016,FOF,0.382
2016,GAS,0.246
2016,GBO,0.031
2016,MEO,0.03
2016,NFO,0.03
2016,NMA,0.589
2016,NMC,1.014
2016,NMM,1.568
2016,PET,0.111
2016,RAW,4.111
2016,WCH,0.005
2016,WOD,0.167
2017,BIM,2.049
2017,COL,0.024
2017,CPR,1.154
2017,CRO,0.693
2017,FEO,0.03
2017,FOF,0.366
2017,GAS,0.233
2017,GBO,0.031
2017,MEO,
2017,NFO,0.03
2017,NMA,0.612
2017,NMC,1.029
2017,NMM,1.608
2017,PET,0.109
2017,RAW,4.053
2017,WCH,0.004
2017,WOD,0.168
2018,BIM,
2018,COL,
2018,CPR,
2018,CRO,
2018,FEO,
2018,FOF,
2018,GAS,
2018,GBO,
2018,MEO,
2018,NFO,
2018,NMA,
2018,NMC,
2018,NMM,
2018,PET,
2018,RAW,
2018,WCH,
2018,WOD,
