Year,Area of residence,Value
2010,,
2010,Rural/urban,
2011,,
2011,Rural/urban,
2012,,
2012,Rural/urban,
2013,,
2013,Rural/urban,
2014,,
2014,Rural/urban,
2015,,0.69
2015,Rural/urban,1.96
2016,,0.72
2016,Rural/urban,1.82
2017,,0.72
2017,Rural/urban,1.66
2018,,0.63
2018,Rural/urban,2.04
