Year,Units,Value
2010,Index,4.28
2011,Index,
2012,Index,5.44
2013,Index,5.72
2014,Index,
2015,Index,5.81
2016,Index,6.21
2017,Index,6.45
2018,Index,
2010,Rank,74.0
2011,Rank,
2012,Rank,60.0
2013,Rank,61.0
2014,Rank,
2015,Rank,66.0
2016,Rank,63.0
2017,Rank,59.0
2018,Rank,
